BlackAndWhiteSolitaire ,581 ,2 ,easy ,気づけば単純だけど、あとはどう実装するか 
SurveillanceSystem ,581 ,2 ,middle ,アルゴリズムが難しいけど、勉強になる。 
ShoutterDiv2 ,580 ,2 ,easy ,重なり判定が勉強になる。 
EelAndRabbit ,580 ,2 ,middle ,ORを使った上手いテクニック 
PrimalUnlicensedCreatures ,579 ,2 ,easy ,アルゴリズムの練習に 
UndoHistory ,579 ,2 ,middle ,手法の技術が面白い 
DeerInZooDivTwo ,578 ,2 ,easy ,簡単な練習問題 
GooseInZooDivTwo ,578 ,2 ,middle ,DFSとモジュロの面白い応用 
EllysNewNickname ,577 ,2 ,easy ,プログラムの練習になる。 
EllysRoomAssignmentsDiv2 ,577 ,2 ,middle ,問題の解析に一苦労。アルゴリズムとしてはMiddleにしては優しい方。 
TheExperimentDiv2 ,576 ,2 ,easy ,問題文の解読が難しいけど、わかればアルゴリズムとしては面白い 
ArcadeManao ,576 ,2 ,middle ,解読はしやすいけど、アルゴリズム・コーディングが難しい。 
TheSwapsDivTwo ,575 ,2 ,easy ,やり方がひらめけば、練習になる。 
TheNumberGameDivTwo ,575 ,2 ,middle ,メモ化再起や動的計画法などの練習。 
CityMap ,574 ,2 ,easy ,HashMapの練習 
TheNumberGameDiv2 ,574 ,2 ,middle ,シンプルにかけたら天才 
SkiResortsEasy ,573 ,2 ,easy ,配列操作 
TeamContestEasy ,573 ,2 ,middle ,アルゴリズムが面白い 
EasyHomework ,572 ,2 ,easy ,普通にするとだめ 
NextOrPrev ,572 ,2 ,middle ,考え方が面白い 
FoxAndGame ,571 ,2 ,easy ,文字列の扱いの基本 
FoxAndMp3Easy ,571 ,2 ,middle ,ソートと文字列操作 
Chopsticks ,570 ,2 ,easy ,配列操作、面白い 
RobotHerbDiv2 ,570 ,2 ,middle ,問題の把握、シミュレーション 
BallAndHats ,549 ,2 ,easy ,問題の捉え方 
ContestWinner ,546 ,2 ,easy ,コーディングテクニック 
EllysTSP ,543 ,2 ,easy ,提出前にもうひと確認 
EllysCheckers ,534 ,2 ,middle ,問題の捉え方 
PikachuEasy ,533 ,2 ,easy ,文字列操作 
PairingPawns ,529 ,2 ,easy ,発想の転換？ 
SRMRoomAssignmentPhase ,520 ,2 ,easy ,アイディアを考える問題としてはちょうどいい 
SRMCodingPhase ,520 ,2 ,middle ,問題としては面白い。あとは解法に気づけて実装力があるか。（小野はできなかった） 
SpiralWalking ,407 ,2 ,easy ,Easyにしてはなかなか難しい。 
CorporationSalary ,407 ,2 ,middle ,メモ化再起の面白い問題。 
MirroredClock ,363 ,2 ,easy ,面白い 
NinjaTurtles ,567 ,2 ,easy ,そういう解き方！？ 
TheSquareRootDilemma ,567 ,2 ,middle ,問題自体は理解しやすいが、愚直にやると時間オーバー。回答は数学的にうまい方法、これが理解できるとすごい。 
MagicalGirlLevelOneDivTwo ,514 ,2 ,easy ,問題の解読 
SlimeXSlimeRancher2 ,506 ,2 ,easy ,30秒目標 
SlimeXSlimesCity ,506 ,2 ,middle ,☆☆問題把握が難しいけど、素直に実装してからの動的計画法。結局貪欲法に持っていけるいい問題。 
InterestingParty ,494 ,2 ,easy ,HashMapのいい例 
Cryptography ,480 ,2 ,easy ,解決法が理解できるなら一瞬。本に掲載されている 
InternetSecurity ,480 ,2 ,middle ,まず問題の把握。実装が難しい、ArraysやArrayListからのArray変換を使いこなさないと難しい 
RabbitVoting ,475 ,2 ,easy ,文字列比較、配列のコピー 
OnTheFarmDivTwo ,473 ,2 ,easy ,まさにグリーディ 
LinearTravellingSalesman ,470 ,2 ,easy ,これはうまい方法。本当にうまい。（小野は気づかなかった。） 
RabbitNumbering ,463 ,2 ,middle ,解法に気づけるか。 
DifferentStrings ,441 ,2 ,easy ,よくある最小を求める問題。練習としては良いかも。 
UnluckyNumbers ,438 ,2 ,easy ,回答が面白い。少し難易度が高くおすすめ 
TheBeauty ,437 ,2 ,easy ,よくある位ごとの値のテンプレ 
LeastMajorityMultiple ,434 ,2 ,easy ,愚直な方法が気づくかの問題 
ThePalindrome ,428 ,2 ,easy ,いわゆる最長一致問題　練習にはいい 
TheLuckyString ,428 ,2 ,middle ,全探索・再起のいい問題。一見計算量的に間に合わなそうだけど　見積もりをしっかりすれば間に合う。フィールドの練習にもなるかも 
MagicSpell ,424  ,2 ,easy ,キューのテクニック 
DeckRearranging ,420 ,2 ,easy ,ArrayListとtoArrayを使いこなす練習。 
ColumnDiagramPerimeter ,419 ,2 ,easy ,ひらめき 
ReversedSum ,417 ,2 ,easy ,文字列と数値の変換をしっかり。 
Stick ,409 ,2 ,easy ,回答のアイディア。ビットカウント 
SquareDigitNumbers ,395 ,2 ,easy ,進数変換 
snowyHighwayLength ,391 ,2 ,easy ,初級者向き。真面目にやろうとしたら練習になる。 
IsomorphicWords ,391 ,2 ,middle ,解法のアイディア。文字列処理。 
FingerCounting ,390 ,2 ,easy ,考えが少し大変？ 
GuessingNextElement ,387 ,2 ,easy ,練習問題にはちょうどいい３０秒以内で 
DownloadingFiles ,379 ,2 ,easy ,原理を考えると簡単。文字列から数値への変換。最後注意 
SellingProducts ,379 ,2 ,middle ,問題の把握。把握さえ出来れば全探索（うっかりに注意） 
Thimbles ,354 ,2 ,easy ,文字列と数値の変換の練習 
Trekking ,345 ,2 ,easy ,問題把握 string(char)　minの基本的な扱い 
FixTheAverage ,282 ,2 ,easy ,目指せ３０秒 
FontSize ,265 ,2 ,easy ,文字の扱いが面白い 
Party ,263 ,2 ,easy ,ガリガリやるだけだけど、組むのに工夫が必要？あと最後に引っかけが重要 
SequenceOfNumbers ,255 ,2 ,easy ,文字列↔数値の変換。まじめにやるとハイレベル（Comparatorインターフェイス） 
WordCompositionGame ,255 ,2 ,middle ,解法に気づくか。さらにテクニックを使うと短く書ける。 
SignatureDecorator ,225 ,2 ,easy ,ガリガリやるだけだけど、正確に文字列処理をするための練習になる。 